type|url|main_title|episodes|start_date|end_date|description|rating|number_of_ratings|runtime|image|aid
TV Special|https://anidb.net/anime/10046|Hanamonogatari: Suruga Devil|1|2014-08-16|2014-08-16|* Based on a series of light novels written by http://anidb.net/cr5970 [Nishio Ishin] and illustrated by http://anidb.net/cr6436 [Vofan].With the end of the school year and the graduation of http://anidb.net/ch8963 [Senjougahara Hitagi] and http://anidb.net/ch8962 [Araragi Koyomi], http://anidb.net/ch8966 [Kanbaru Suruga] becomes a senior high school student. One day, she hears the rumor of a devil-like figure said to be able to grant any wish, and becomes afraid that she might be herself that figure. Determined to not let her previous mistakes repeat themselves, she sets out to investigate, and in the course of that, she runs right into http://anidb.net/ch65993 [Numachi Rouka], a former basketball rival from their time in middle school.— written by Hinoe|7.71|2130|-1|null|-1
TV Series|https://anidb.net/anime/3311|DT Eightron|26|1998-04-19|1998-11-07|Some teenagers are living in a city called Datania. They live closed in, and have no feelings. One of them, Shuu, however starts developing some feelings and escapes from the city. What he discovers out there, is a world in ruins. He encounters some survivors, totally burnt by UV rays. During all his adventure, Shuu is helped by Eightron, a mysterious robot that appears during critical situations.Source: AnimeKa Network|5.2|119|25|https://cdn-us.anidb.net/images/main/128409.jpg|-1
TV Series|https://anidb.net/anime/8677|Gokujo. Gokurakuin Joshikou Ryou Monogatari|12|2012-01-24|2012-03-27|In the halls of a high school girls` dormitory there are no rules and anything goes. A beautiful girl named http://anidb.net/ch40576 [Kurihashi Minami] transfers to the all-girls high school Gokurakuin ("Gokujo") from Los Angeles, and she plans to rule Gokujo with her cuteness as her weapon. However, a girl named http://anidb.net/ch40577 [Akabane Aya] confounds Minami`s plans on her first day there, and Minami has to deal with the unpredictable life on this campus.Source: ANNNote: Aired within the "SKE 48 no Sekai Seifuku Joshi" program block. Originally the first episode was planned to be aired on 17.01.2012, but was cancelled due to censorship issues. An apology screen was shown instead. Thus the original episode 2 became the first episode of the TV series, which was shown a week later. The original episode 1 was streamed on DMM.com on 30.01.2012. Episode 3, originally to be aired on 31.01.2012, was cancelled as well. DMM.com once again streamed the original episode 3 on 06.02.2012. The episodes 5 and 10 followed suit.|3.39|710|6|https://cdn-us.anidb.net/images/main/79949.jpg|-1
OVA|https://anidb.net/anime/8308|Gakuen 3: Karei Naru Etsujoku|2|2011-03-18|2011-07-22|http://anidb.net/ch29580 [Chiba Kagetora] enters employment in a super-elite academy as a "jester". However, he has a dark motive for doing so. Kagetora`s body possesses a unique attribute: Women who are spattered by his semen become extremely aroused and fall captive to their lust. Using this, he plans to dominate the "princesses" of the academy.~ translated and adapted from official site by Cranston|4.46|203|20|https://cdn-us.anidb.net/images/main/67096.jpg|-1
Movie|https://anidb.net/anime/1218|Howl no Ugoku Shiro|1|2004-11-20|2004-11-20|http://anidb.net/ch10044 [Sophie Hatter], the eldest of three, is apprenticed to make hats for the people of Ingary, a place where spells, magic cloaks, and seven-league boots exist. She and all the young girls are warned to stay inside or be taken by http://anidb.net/ch5005 [Howl], the evil wizard whose black castle can be seen moving through the hills. After an encounter with a witch and with a spell cast on her to make her an http://anidb.net/ch10048 [old woman], Sophie goes to seek adventure. She heads towards Howl`s moving castle where she will encounter things she had never imagined.Source: ANN|8.2|9549|-1|null|-1
TV Special|https://anidb.net/anime/7154|Sekai Meisaku Gekijou Kanketsu Ban: Trapp Ikka Monogatari|2|null|null|null|-1.0|-1|-1|null|-1
Web|https://anidb.net/anime/8451|Sakuran Boy DT|11|2009-01-14|2009-03-25|The story revolves around Satou-kun, an ordinary high school boy who transforms into Sakuran Boy DT to rescue the mayor`s daughter from the nefarious secret society Zaou.|1.71|7|3|https://cdn-us.anidb.net/images/main/72141.jpg|-1
OVA|https://anidb.net/anime/7297|Gunparade Orchestra: Midori no Shou - Ookami to Kare no Shounen|1|2006-03-30|2006-03-30|An original anime episode bundled on a DVD together with both the special and regular editions of the Gunparade Orchestra: Midori no Shou PS2 game, the second in a trilogy of games.All three games feature a different cast. Part 2 and this episode features the cast from the http://anidb.net/a3465 [Gunparade Orchestra] anime episodes 10-17.|3.32|17|25|https://cdn-us.anidb.net/images/main/41089.jpg|-1
TV Series|https://anidb.net/anime/505|Captain Tsubasa|128|1983-10-13|1986-03-27|Tsubasa Ohzora`s life has been saved by a football as he were 2 years old. Since then his best friend was the football, soccer is his life. As a 12-year old he and his mother are moving to Nankatsu (his father is captain on a ship and therefore on the sea most of the time). There he finds a soccer team to play in and many new friends. That`s the beginning of the successful story of Tsubasa and his friends...|5.24|1096|25|https://cdn-us.anidb.net/images/main/158340.jpg|-1
OVA|https://anidb.net/anime/8787|Uchuu Senkan Yamato 2199|26|2012-04-06|2013-08-24|The year is 2199. The human race has been crushed in their war with the Gamilos, driven into underground cities by the invader`s assault. Scientists estimate they have only a year left. The young officers Susumu Kodai and Daisuke Shima receive a mysterious capsule from a ship that made an emergency landing on Mars and return with it to Earth. It contains humanity`s last hope: the planet Iscandar on the other side of the Magellan Galaxy has the technology to defeat the Gamilos and restore the planet. The space battleship Yamato is entrusted with this task, but they have only one year before humanity ends.[i]Note: The first episode received a special preview on the TV channel Family Gekijou on 6th of April, 2012. A day later, on 7th of April, 2012, the first 2 episodes were combined for a theatrical screening shown in 10 theatres across Japan until 20.04.2012. Episodes 3-6 received the same type of theatrical screening on 30.06.2012. Episodes 23-26 received the same type of theatrical screening on 24.08.2013.The first DVD/BD volume contained 2 episodes, subsequent volumes contained 4 episodes.[/i]|8.86|1498|25|https://cdn-us.anidb.net/images/main/81735.jpg|-1
